Exercise Name,Category,Equipment,Difficulty,Calories Burned (30 min)
Push-ups,Strength,None,Intermediate,114
Jogging,Cardio,None,Beginner,223
Squats,Strength,None,Beginner,191
Plank,Core,None,Beginner,95
Jumping Jacks,Cardio,None,Beginner,143
Lunges,Strength,None,Intermediate,178
Burpees,Cardio,None,Advanced,355
Bicycle Crunches,Core,None,Intermediate,170
Mountain Climbers,Cardio,None,Intermediate,232
Deadlifts,Strength,Barbell,Advanced,223
Rowing,Cardio,Rowing Machine,Intermediate,255
Bench Press,Strength,Bench and Barbell,Intermediate,170
Jump Rope,Cardio,Jump Rope,Intermediate,286
Pull-ups,Strength,Pull-up Bar,Advanced,143
Leg Press,Strength,Leg Press Machine,Intermediate,191
Tricep Dips,Strength,Parallel Bars,Intermediate,143
Elliptical,Cardio,Elliptical Machine,Beginner,335
Kettlebell Swings,Strength,Kettlebell,Intermediate,335
Sit-ups,Core,None,Beginner,95
Box Jumps,Cardio,Plyo Box,Advanced,355
Lat Pulldowns,Strength,Cable Machine,Intermediate,143
Russian Twists,Core,None,Intermediate,170
Stair Climbing,Cardio,Stairs,Intermediate,223
Dumbbell Curls,Strength,Dumbbells,Beginner,95
Yoga,Flexibility,Yoga Mat,Beginner,114
Pilates,Core,None,Intermediate,170
Swimming,Cardio,None,Intermediate,223
Battle Ropes,Cardio,Battle Ropes,Advanced,286
Leg Raises,Core,None,Intermediate,127
Calf Raises,Strength,None,Beginner,95
Shoulder Press,Strength,Dumbbells,Intermediate,127
High Knees,Cardio,None,Intermediate,255
Wall Sits,Strength,None,Beginner,127
Treadmill,Cardio,Treadmill,Beginner,280
Leg Extensions,Strength,Leg Extension Machine,Beginner,114
Crunches,Core,None,Beginner,95
Dumbbell Rows,Strength,Dumbbells,Intermediate,170
Jumping Lunges,Cardio,None,Advanced,335
Planks with Leg Lifts,Core,None,Intermediate,143
Chest Flyes,Strength,Dumbbells,Intermediate,127
Spinning,Cardio,Stationary Bike,Intermediate,260
Tricep Pushdowns,Strength,Cable Machine,Beginner,95
Side Planks,Core,None,Intermediate,95
Barbell Squats,Strength,Barbell,Advanced,223
Jump Squats,Cardio,None,Advanced,335
Face Pulls,Strength,Cable Machine,Intermediate,114
Reverse Crunches,Core,None,Intermediate,114
Lateral Raises,Strength,Dumbbells,Beginner,95
Butt Kicks,Cardio,None,Beginner,191
Hammer Curls,Strength,Dumbbells,Beginner,95
